mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
372.19779920578003,15.030558073980211,19.969534349441528,0.5901948681865723,4,181,"{'max_depth': 4, 'n_estimators': 181}",0.8147043207847698,0.8137532914725542,0.8114988485968064,0.8133147702822427,0.8152240016217313,0.8136990465516207,0.0012905460900496718,20,0.8144401040842297,0.816046323455042,0.8165922854216974,0.814905747533743,0.81454646612168,0.8153061853232785,0.0008590085352825286
339.4106777191162,10.99773671361035,15.940813875198364,1.6315046852039772,4,191,"{'max_depth': 4, 'n_estimators': 191}",0.8144666009553416,0.8127042018083732,0.8105960935128024,0.813744591483009,0.8156401944894651,0.8134303364497983,0.0017097530494323526,21,0.8139964799878445,0.815304347826087,0.8158169232228087,0.8147876364832551,0.8147094702643938,0.814922971556878,0.0006110454076860655
323.7407495498657,9.931830459691778,11.720492601394653,3.420018321558852,4,201,"{'max_depth': 4, 'n_estimators': 201}",0.8149327671620665,0.8131522950653561,0.8098771685450171,0.8130538255101524,0.8160206587508545,0.8134073430066893,0.002088468043092281,22,0.8145832410436852,0.8156859769591663,0.8154360930314933,0.8139347843984117,0.8146865082877119,0.8148653207440937,0.0006287604265498555
306.0614284992218,7.951761100731571,23.736389017105104,1.4413536124522823,4,161,"{'max_depth': 4, 'n_estimators': 161}",0.8137616999747027,0.8139599625439728,0.811321232373864,0.8125380093249543,0.8153117800450644,0.8133785368525117,0.0013536090496812814,23,0.8138436007550134,0.8160960960960961,0.8165143413351537,0.8141975113193807,0.8150723025583982,0.8151447704128085,0.0010369511970567586
337.89623017311095,6.2805689112561565,20.97516212463379,1.6474253435536261,4,171,"{'max_depth': 4, 'n_estimators': 171}",0.814644266774618,0.8133789433675409,0.810773865276055,0.813394462878999,0.814621409921671,0.8133625896437767,0.001409262357348696,24,0.8144625011083104,0.8157836456019792,0.8166388425153033,0.8146121497694685,0.8142069934140185,0.8151408264818159,0.0009240061725837747
252.9707684993744,18.81846882783308,20.658521509170534,4.345583865337195,4,131,"{'max_depth': 4, 'n_estimators': 131}",0.8134101941747572,0.8131662235726042,0.8105276477287107,0.8125886884248936,0.8145784261580934,0.812854236011812,0.0013313741726164682,25,0.8136842171901015,0.8146423555313738,0.815741267134104,0.814062717593589,0.8139598096044804,0.8144180734107298,0.0007315698906688575
296.1323496341705,4.277388677559513,21.11178879737854,3.853712121993219,4,151,"{'max_depth': 4, 'n_estimators': 151}",0.8140099059941373,0.8128401812612339,0.8099612785665478,0.8121024757367661,0.8143609479440956,0.8126549579005561,0.001571097638854169,26,0.8141606366208953,0.8156707078113345,0.8153965716596427,0.8138717784769658,0.8138048734237224,0.8145809135985121,0.0007917945706307254
279.796329498291,4.669174789017375,19.323373365402222,1.8315134210169557,4,141,"{'max_depth': 4, 'n_estimators': 141}",0.8133228879735159,0.8129113924050633,0.8105249841872233,0.8124113475177305,0.8137490817903189,0.8125839387747703,0.0011207061863475183,27,0.813654572725029,0.814573178826787,0.8149921968294486,0.8137397622694532,0.8132582294965893,0.8140435880294614,0.0006388671368457298
159.0141725540161,3.4093159623050537,13.557121419906617,1.2450232211694483,4,91,"{'max_depth': 4, 'n_estimators': 91}",0.8131990485348449,0.8132096512570965,0.8098470266437038,0.8119168356997971,0.8130675188961599,0.8122480162063204,0.0012942349498548688,28,0.8126725251348546,0.8142577717009438,0.8149408349513335,0.8134869067466229,0.8132082399564452,0.8137132556980399,0.0007991049183617217
238.97553396224976,24.025296777248315,19.221228694915773,4.118281639472457,4,121,"{'max_depth': 4, 'n_estimators': 121}",0.8124020029335896,0.813047662462645,0.8102745792736935,0.811617710418937,0.8136306055231821,0.8121945121224095,0.0011706514890622451,29,0.8128961181215533,0.8143888351142237,0.8152089428685173,0.8129485920623357,0.8135072423451163,0.8137899461023492,0.0008898254171683185
